iso3,country,year,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial,fdi_pct_gdp,fdi_usd,cici_score,cici_rank
SDN,Sudan,2010,14.224208099318972,50.86615380387499,11.74681226608898,13.989022865922427,35.428618196379794,29.46312728235011,,3.50004539535845,2063730997.66213,18.2,19
SDN,Sudan,2011,13.803947522100373,44.932530764323324,8.617106546178935,19.504529376437183,36.19397143131365,29.543317654293112,,3.15234852962884,1734376994.48388,18.19,19
SDN,Sudan,2012,12.486214196156444,31.585664479587432,5.22327428867643,13.088467463294322,36.443652596172136,27.810112115252515,,6.14212434699966,2311460739.75953,15.55,19
SDN,Sudan,2013,12.04677379458487,44.370615676038575,8.224802394844335,15.496909783345451,36.95913928540494,25.93475091685843,,3.92312074519106,1687884178.79722,17.05,19
SDN,Sudan,2014,13.01823352401562,46.189397229871425,4.616611102166895,14.899135148711188,37.255461101929704,23.94639419436288,,2.52698516017578,1251280889.37784,16.09,19
SDN,Sudan,2015,13.83184676606887,48.67397646010383,3.136451163419871,15.343741399844532,38.907643822786675,21.936167370428308,,3.34135261447755,1728373403.43067,16.17,19
SDN,Sudan,2016,13.329838331085602,49.45119301830445,1.278416265177698,16.93595562386904,37.79770585635432,19.935053088759993,,2.49532759301928,1063767535.33587,15.56,19
SDN,Sudan,2017,14.9446216240627,44.35992532269761,2.8083084349803262,18.50809330688419,39.69552977345136,17.92118124791892,,2.58043876395005,1065298481.41867,16.84,19
SDN,Sudan,2018,14.025802895410669,35.21028197452792,5.230321087611984,23.088519454270152,41.7343610488296,15.9966123212871,,3.51269523880448,1135787164.04941,18.37,19
SDN,Sudan,2019,15.56736526589858,38.22451632834312,7.781442519154769,26.421236961385507,42.274060874782755,14.210554037102256,,2.55226968828806,825354992.310273,20.16,19
SDN,Sudan,2020,18.63596095887802,15.930004135794782,0.0,28.745760794703365,44.63349420444728,11.928773453633475,,2.65193447042229,716939710.59488,18.85,19
SDN,Sudan,2021,18.07881461806362,17.186230534397726,0.0,33.015372145560235,41.14980076493425,10.529086961537605,,1.52754029838982,522869616.855921,18.87,19
SDN,Sudan,2022,14.207237483857526,20.06052739433231,0.0,47.57087904259866,39.886413314958936,9.016404945340245,,1.11000421594226,573504494.776,20.46,19
SDN,Sudan,2023,10.080375789690525,0.1711055277759532,0.0,51.56005128935745,38.69699064994714,9.016404945340245,,1.37399372870934,548200000.0,19.81,19
SDN,Sudan,2024,7.633560858415109,13.552123534421522,0.0,51.56005128935745,39.01556964402903,9.016404945340245,,,,19.57,19
IRQ,Iraq,2000,8.270544262879037,61.71235751490433,67.31397042724781,86.91417931480183,44.89156604949985,31.47644189490031,,-6.61645727484025e-05,-32000.0,48.69,9
IRQ,Iraq,2001,7.834611281480343,48.74966328513714,68.18020071772217,87.55218746772046,50.0,17.250498137122978,,-0.0183987197639496,-6656000.0,49.36,7
IRQ,Iraq,2002,7.398678300081649,41.23256304162475,63.96911005986943,85.61438278017442,45.1693077014541,17.152082680647496,,-0.0009900252023457,-326000.0,46.69,8
IRQ,Iraq,2003,10.367607495275884,25.158868325874533,84.65341057847968,90.76035622810922,35.049267991544134,17.051844715718754,,4.56171717525217,1000000000.0,52.46,7
IRQ,Iraq,2004,11.395955946985104,60.14517222119472,64.25227882828587,98.07664909531272,33.333333333333336,16.951606750790017,,0.818918786960291,300000000.0,48.02,10
IRQ,Iraq,2005,11.3443036299268,44.33259885203554,61.5573106847894,98.14788431400484,33.86527958034452,16.85319129431452,,1.02925980764254,515300000.0,47.04,10
IRQ,Iraq,2006,11.294427600810474,43.69870783655214,45.90148230724189,98.29035475138907,33.333333333333336,16.752953329385782,,0.587900739517653,383000000.0,42.2,12
IRQ,Iraq,2007,13.27052223964081,54.0475117287176,36.56651489460142,91.3361732982662,33.99746971706744,16.654537872910286,,1.09391286623188,971800000.0,38.81,15
IRQ,Iraq,2008,18.85520495082492,55.20784453126026,40.74429340029219,93.17437756172664,36.75492703708234,16.388451638735805,,1.40995173662765,1855700000.0,42.04,15
IRQ,Iraq,2009,21.712521763608773,52.82815384117367,39.32333881259652,80.34273154018541,38.245651056900904,16.12418791301459,,1.43142990859109,1598300000.0,40.13,13
